index,id,incognito,browser_id,visit_id,extension_session_uuid,process_id,window_id,tab_id,tab_opener_tab_id,frame_id,parent_frame_id,window_width,window_height,window_type,tab_width,tab_height,tab_cookie_store_id,uuid,url,transition_qualifiers,transition_type,before_navigate_event_ordinal,before_navigate_time_stamp,committed_event_ordinal,committed_time_stamp
0,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,0,-1.0,450,667,normal,450,582,firefox-default,97589023-c0ca-46ea-a25c-e22576e14127,https://www.ncl.com/,"[""server_redirect""]",link,0.0,2021-07-12T09:37:10.386Z,19,2021-07-12T09:37:12.073Z
1,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483649,0.0,450,667,normal,450,582,firefox-default,6c4682de-f17b-4b6d-84f3-374277a6662c,about:blank,[],auto_subframe,225.0,2021-07-12T09:37:19.670Z,226,2021-07-12T09:37:19.670Z
2,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483650,0.0,450,667,normal,450,582,firefox-default,b9312163-14c6-4aa3-aa0c-bf4ddb577b89,https://ncl.usablenet.com/pt/switch,[],auto_subframe,331.0,2021-07-12T09:37:37.072Z,332,2021-07-12T09:37:37.073Z
3,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483651,0.0,450,667,normal,450,582,firefox-default,ed3233d6-072d-444d-acb7-44040f5d1fdb,https://norwegiancruiseline.mpeasylink.com/mpel/mpel_storage.html?cmd=getpref&href=https%3A%2F%2Fwww.ncl.com%2F,[],auto_subframe,354.0,2021-07-12T09:37:39.222Z,355,2021-07-12T09:37:39.234Z
4,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483652,0.0,450,667,normal,450,582,firefox-default,1c7077f1-a9fe-4645-8b72-3558b297354c,"https://norwegiancruiseline.mpeasylink.com/mpel/mpel_storage.html?cmd=storePref&href=https%3A%2F%2Fwww.ncl.com%2F&siteurl=www.ncl.com&lang=en&country=us&region=&sitelist=www.ncl.com,ncl.com,qa2-web.ncl.com,staging.ncl.com,preprod.ncl.com,qa2-web.ncl.com,qa3-web.ncl.com,qa4-web.ncl.com,local.ncl.com;www.ncl.com/ca/fr,ncl.com/ca/fr,sso.ncl.com/ca/fr;www.ncl.com/it/en,ncl.com/it/en,sso.ncl.com/it/en;www.ncl.com/it/it,ncl.com/it/it,sso.ncl.com/it/it;www.ncl.com/il/en,ncl.com/il/en,sso.ncl.com/il/en;www.ncl.com/il/he,ncl.com/il/he,sso.ncl.com/il/he;www.ncl.com/jp/en,ncl.com/jp/en,sso.ncl.com/jp/en;www.ncl.com/jp/ja,ncl.com/jp/ja,sso.ncl.com/jp/ja;www.ncl.com/es/en,ncl.com/es/en,sso.ncl.com/es/en;www.ncl.com/es/es,ncl.com/es/es,sso.ncl.com/es/es;www.ncl.com/no/en,ncl.com/no/en,sso.ncl.com/no/en;es.ncl.com;www.ncl.com/in/en,ncl.com/in/en,sso.ncl.com/in/en;www.ncl.com/au/en,ncl.com/au/en;www.ncl.com/nz/en,ncl.com/nz/en;www.ncl.com/ar/es,ncl.com/ar/es;www.ncl.com/br/pt,ncl.com/br/pt;www.ncl.com/uk/en,ncl.com/uk/en;www.ncl.com/de/en,ncl.com/de/en,sso.ncl.com/de/en;www.ncl.com/de/de,ncl.com/de/de,sso.ncl.com/de/de,qa2-web.ncl.com/de/de;www.ncl.com/ch/en,ncl.com/ch/en,sso.ncl.com/ch/en;www.ncl.com/ch/de,ncl.com/ch/de,sso.ncl.com/ch/de;www.ncl.com/fr/en,ncl.com/fr/en,sso.ncl.com/fr/en;www.ncl.com/fr/fr,ncl.com/fr/fr,sso.ncl.com/fr/fr;www.ncl.com/ca/en,ncl.com/ca/en,sso.ncl.com/ca/en&currency=&nonMP=false&mode=&uuid=",[],auto_subframe,648.0,2021-07-12T09:37:45.179Z,649,2021-07-12T09:37:45.183Z
5,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483653,0.0,450,667,normal,450,582,firefox-default,596bd208-71f6-49cc-80df-c52063827b4f,about:blank,[],auto_subframe,676.0,2021-07-12T09:37:46.324Z,677,2021-07-12T09:37:46.339Z
6,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483654,0.0,450,667,normal,450,582,firefox-default,4dd287db-eec8-4a76-b18b-277e92cd4c9c,https://login.dotomi.com/ucm/UCMController?dtm_com=28&dtm_fid=101&dtm_cid=3139&dtm_cmagic=e8bf0f&dtm_format=5&cli_promo_id=1&dtmc_department=home&dtmc_category=home&dtmc_ref=&dtmc_loc=https%3A//www.ncl.com/&dtm_user_token=,[],auto_subframe,1148.0,2021-07-12T09:37:51.741Z,1149,2021-07-12T09:37:51.742Z
7,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483655,0.0,450,667,normal,450,582,firefox-default,71304dc5-ec63-41e8-b4b9-502bf65d3917,about:blank,[],auto_subframe,1150.0,2021-07-12T09:37:51.753Z,1151,2021-07-12T09:37:51.754Z
8,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483656,0.0,450,667,normal,450,582,firefox-default,484e6c26-624c-4b89-ac43-79a270e93bad,https://login.dotomi.com/ucm/UCMController?dtm_com=28&dtm_fid=101&dtm_cid=3139&dtm_cmagic=e8bf0f&dtm_format=5&cli_promo_id=1&dtmc_department=home&dtmc_category=home&dtmc_ref=&dtmc_loc=https%3A//www.ncl.com/&dtm_user_token=,[],auto_subframe,1236.0,2021-07-12T09:37:52.686Z,1237,2021-07-12T09:37:52.689Z
9,,0,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,,1,1,,2147483657,0.0,450,667,normal,450,582,firefox-default,b6714268-3991-47ab-a9a5-0fcb883b5e9a,about:blank,[],auto_subframe,1238.0,2021-07-12T09:37:52.739Z,1239,2021-07-12T09:37:52.741Z
