index,id,request_id,browser_id,visit_id,call_stack
0,1,27,3927562032,5902464393628135,"null@https://www.travelandleisure.com/:65:25;null
null@https://www.travelandleisure.com/:66:11;null"
1,2,28,3927562032,5902464393628135,"analytics.load@https://www.travelandleisure.com/:248:845;null
null@https://www.travelandleisure.com/:248:905;null
null@https://www.travelandleisure.com/:248:948;null"
2,3,34,3927562032,5902464393628135,"OneTrustStub</ae.prototype.otFetch@https://cdn.cookielaw.org/scripttemplates/otSDKStub.js:1:5754;null
OneTrustStub</ae.prototype.fetchBannerSDKDependency@https://cdn.cookielaw.org/scripttemplates/otSDKStub.js:1:3845;null
OneTrustStub</ae.prototype.initConsentSDK@https://cdn.cookielaw.org/scripttemplates/otSDKStub.js:1:3663;null
ae@https://cdn.cookielaw.org/scripttemplates/otSDKStub.js:1:17329;null
OneTrustStub<@https://cdn.cookielaw.org/scripttemplates/otSDKStub.js:1:17353;null
null@https://cdn.cookielaw.org/scripttemplates/otSDKStub.js:1:17399;null"
3,4,35,3927562032,5902464393628135,"create@https://karma.mdpcdn.com/service/js-min/karma.js:2:47003;null
r@https://karma.mdpcdn.com/service/js-min/karma.js:2:77048;null
init@https://karma.mdpcdn.com/service/js-min/karma.js:2:77489;null
n.timeline<@https://karma.mdpcdn.com/service/js-min/karma.js:2:369039;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373435;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373438;null"
4,5,36,3927562032,5902464393628135,"create/<@https://karma.mdpcdn.com/service/js-min/karma.js:2:46941;null
h@https://karma.mdpcdn.com/service/js-min/karma.js:2:17652;null
create@https://karma.mdpcdn.com/service/js-min/karma.js:2:46898;null
init@https://karma.mdpcdn.com/service/js-min/karma.js:2:55687;null
n.timeline<@https://karma.mdpcdn.com/service/js-min/karma.js:2:369053;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373435;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373438;null"
5,6,37,3927562032,5902464393628135,"create@https://karma.mdpcdn.com/service/js-min/karma.js:2:47003;null
fetchResource@https://karma.mdpcdn.com/service/js-min/karma.js:2:19629;null
init@https://karma.mdpcdn.com/service/js-min/karma.js:2:55935;null
n.timeline<@https://karma.mdpcdn.com/service/js-min/karma.js:2:369053;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373435;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373438;null"
6,7,38,3927562032,5902464393628135,"fetchJson@https://karma.mdpcdn.com/service/js-min/karma.js:2:19226;null
S@https://karma.mdpcdn.com/service/js-min/karma.js:2:1330;null
init@https://karma.mdpcdn.com/service/js-min/karma.js:2:3185;null
s@https://karma.mdpcdn.com/service/js-min/karma.js:2:369822;null
n.timeline<@https://karma.mdpcdn.com/service/js-min/karma.js:2:369134;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373435;null
null@https://karma.mdpcdn.com/service/js-min/karma.js:2:373438;null"
